iter	Logloss
0	0.6769680802
1	0.6627697724
2	0.6489278564
3	0.638144481
4	0.6255376122
5	0.6125265607
6	0.6006685953
7	0.5889146101
8	0.5787339053
9	0.5653776859
10	0.5550403096
11	0.541606891
12	0.5297813908
13	0.5188424501
14	0.5071406199
15	0.4983815587
16	0.4870354222
17	0.4756546784
18	0.4656688754
19	0.4567902483
20	0.4472249932
21	0.4399332493
22	0.4319809394
23	0.4224673794
24	0.4155801763
25	0.4079263353
26	0.4005580447
27	0.3922037711
28	0.3848556447
29	0.3794440395
30	0.3734665161
31	0.3661760126
32	0.3598777401
33	0.3538433057
34	0.3491178889
35	0.3427827395
36	0.3379100549
37	0.3314582755
38	0.326106022
39	0.3212139065
40	0.3160713554
41	0.3109032171
42	0.3059147546
43	0.3018751672
44	0.2965766182
45	0.2907203189
46	0.2860742136
47	0.2810699986
48	0.2773212201
49	0.2723011822
50	0.2674685859
51	0.2640911112
52	0.2594839662
53	0.2550981784
54	0.2512768389
55	0.247143164
56	0.2427160273
57	0.2398901683
58	0.2361513682
59	0.2325935421
60	0.228873638
61	0.2263594807
62	0.2235262929
63	0.2213930092
64	0.2182068706
65	0.2155350731
66	0.2125839058
67	0.2098268996
68	0.2067634251
69	0.2039315307
70	0.2018203542
71	0.1991642677
72	0.1968481501
73	0.1942518592
74	0.1918964651
75	0.1897710993
76	0.1867932078
77	0.1845136653
78	0.1819712279
79	0.1797320895
80	0.1776122466
81	0.1759452183
82	0.1740845979
83	0.1725187689
84	0.1708974899
85	0.1692872688
86	0.166923487
87	0.1653902049
88	0.163853178
89	0.1622901201
90	0.1601412115
91	0.1584846113
92	0.1565844504
93	0.1549107631
94	0.1530971301
95	0.1512106685
96	0.1493155714
97	0.1476465175
98	0.1462716093
99	0.1443082334
100	0.1430594547
101	0.1418164836
102	0.1404070979
103	0.1390994775
104	0.137583721
105	0.1366462415
106	0.1355538813
107	0.1347051702
108	0.1335227542
109	0.1322942716
110	0.131137308
111	0.1300337083
112	0.128869141
113	0.1275375228
114	0.1262804974
115	0.1252876586
116	0.12415683
117	0.1231960708
118	0.1218672323
119	0.1209102356
120	0.1197214898
121	0.1189013992
122	0.1179974734
123	0.1168378911
124	0.1157374029
125	0.1149243558
126	0.1138930159
127	0.1129159889
128	0.1120652076
129	0.1114982339
130	0.11057773
131	0.1100326153
132	0.1093627148
133	0.1084324153
134	0.1077939841
135	0.1068739034
136	0.1059664433
137	0.1052075127
138	0.1043067437
139	0.1036609969
140	0.1029068136
141	0.1023238399
142	0.1015415519
143	0.10076461
144	0.09996467212
145	0.09917604711
146	0.09840268564
147	0.09783411318
148	0.09711702619
149	0.09670648935
150	0.09585736834
151	0.09519435076
152	0.09441763115
153	0.09388280986
154	0.09326172958
155	0.09268611963
156	0.09195539343
157	0.09129318291
158	0.09075231518
159	0.09020876171
160	0.08967458315
161	0.08908287012
162	0.08854283091
163	0.08796969917
164	0.08755513858
165	0.08687046877
166	0.08631000315
167	0.08572744693
168	0.08518852174
169	0.08456624022
170	0.08386784267
171	0.08339462045
172	0.08305274207
173	0.08279589593
174	0.0822439401
175	0.08181651854
176	0.08138842978
177	0.08101344525
178	0.08046329234
179	0.07995654516
180	0.07948848754
181	0.07912449015
182	0.07883495557
183	0.07828646447
184	0.07798593781
185	0.077577567
186	0.07730480141
187	0.07683107949
188	0.07621875466
189	0.07584292756
190	0.07554010813
191	0.07500474835
192	0.07474550613
193	0.0742633216
194	0.07374734904
195	0.07337026991
196	0.0729956921
197	0.07256611191
198	0.07227211831
199	0.07193892442
200	0.07159206807
201	0.07132124166
202	0.07092916399
203	0.07042578562
204	0.07006037995
205	0.06964803155
206	0.06939179476
207	0.06901726783
208	0.06858847969
209	0.06834643707
210	0.06794368477
211	0.06771450582
212	0.06736593314
213	0.0670694582
214	0.06680115081
215	0.06663944654
216	0.06637085006
217	0.06606689988
218	0.06573429465
219	0.06539844925
220	0.06500074363
221	0.06459278025
222	0.06428173369
223	0.06400431393
224	0.06372405028
225	0.06340646536
226	0.06319525777
227	0.06301469399
228	0.06271260598
229	0.06248417701
230	0.06218383447
231	0.06175432964
232	0.061532663
233	0.06118135656
234	0.06093719202
235	0.06063658348
236	0.0604084938
237	0.06025187046
238	0.06004853714
239	0.05977739594
240	0.05954962323
241	0.05932793579
242	0.05911177199
243	0.05888379
244	0.05869399378
245	0.05850674179
246	0.05827857518
247	0.05806436271
248	0.05778582899
249	0.05755505913
250	0.0572106281
251	0.05703251057
252	0.05689450296
253	0.05667854351
254	0.05653104012
255	0.05625762782
256	0.05605027287
257	0.05581729695
258	0.0556472942
259	0.05541198916
260	0.05519147965
261	0.05494302608
262	0.05472584229
263	0.05452266543
264	0.05430201875
265	0.05414320939
266	0.05398528709
267	0.05380488945
268	0.0536387986
269	0.05348390199
270	0.0532312736
271	0.05293689029
272	0.05266251412
273	0.0524501529
274	0.0522487448
275	0.05205427116
276	0.05175205424
277	0.05157828386
278	0.05144856515
279	0.05123292047
280	0.0510570549
281	0.05079069577
282	0.0506349923
283	0.05040437549
284	0.05017094325
285	0.05012653708
286	0.04998463524
287	0.04979114246
288	0.04967492017
289	0.04953097169
290	0.04930776743
291	0.04913979336
292	0.04887600483
293	0.04871472552
294	0.04846029595
295	0.04824540477
296	0.048161428
297	0.04794899811
298	0.04784327233
299	0.04767705449
300	0.04758063437
301	0.04734323082
302	0.04716318779
303	0.04695664987
304	0.04669734966
305	0.04657953823
306	0.04642727483
307	0.04630060566
308	0.04618005333
